country,analytical_dataset,target_variable,variable_role,source_file,source_variables,observation_level,universe,reference_period,source_coding,target_coding,missing_codes,structural_skip_rule,transformation,direction,selected_primary,selected_sensitivity,verification_source,notes
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_7,outcome item,Individual/id2.dta,i251_7,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_8,outcome item,Individual/id2.dta,i251_8,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_any_remittance,treatment,l2cu_cati_individual_data_82.csv,mig_living_remittance; remittance_hh,household-round,L2CU rounds 49-82 household-rounds,past month,Yes/No labels,"1 any verified component, 0 both components verified no",blank/undocumented,member-migrant structural no only when no migrant is verified,aggregate roster to household-round,1=receipt,1,0,Revised Phase 2 registry; L2CU questionnaire p. 5,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_work_loss_shock,primary exposure,l2cu_cati_individual_data_82.csv,work_lost_hh,household-round,L2CU rounds 49-82 household-rounds,past month,Yes/No labels,"1 job loss, 0 no job loss",blank/undocumented,none,consistent repeated household field,1=shock exposure,1,0,L2CU questionnaire p. 6,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_raw_score,outcome,l2cu_cati_household_data_82.csv,ln_1; ln_2; ln_3; ln_4; ln_5; ln_6; ln_7; ln_8,household-round,rounds 49-82 where module administered,past 30 days,"Yes=1, No=2 in questionnaire; CSV labels Yes/No",0-8 only when complete,blank/undocumented,pre-round-49 structural blanks excluded,sum affirmative items only when all 8 valid,higher=worse food insecurity,1,0,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_popw_unverified,retained unapproved weight,l2cu_cati_household_data_82.csv,popw,household-round,all retained household-rounds,not applicable,numeric,retained only,blank,none,copy with use flag=0,weight,0,0,Revised Phase 2 registry,Weight use not approved.
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_1,outcome item,l2cu_cati_household_data_82.csv,ln_1,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_2,outcome item,l2cu_cati_household_data_82.csv,ln_2,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_3,outcome item,l2cu_cati_household_data_82.csv,ln_3,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_4,outcome item,l2cu_cati_household_data_82.csv,ln_4,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_5,outcome item,l2cu_cati_household_data_82.csv,ln_5,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_6,outcome item,l2cu_cati_household_data_82.csv,ln_6,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_7,outcome item,l2cu_cati_household_data_82.csv,ln_7,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Uzbekistan,l2cu_r49_82_household_analysis,uzb_fies_item_8,outcome item,l2cu_cati_household_data_82.csv,ln_8,household-round,rounds 49-82,past 30 days,Yes/No labels,"1 affirmative, 0 negative",blank/other,pre-round-49 excluded,recode item,1=worse,0,1,L2CU questionnaire p. 23,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_raw_score,benchmark outcome,canonical SAV by year,Raw_score,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,0-8 official score,copy official value,blank,none,"copy only, no recalculation",higher=worse food insecurity,1,0,Phase 2K derived registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_prob_mod_sev,benchmark outcome,canonical SAV by year,Prob_Mod_Sev,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,probability 0 to near 1,copy official value,blank,none,"copy only, no prevalence",higher=worse food insecurity probability,1,0,Phase 2K derived registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_weight_original,retained weight,canonical SAV by year,wt,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,not applicable,post-stratification sampling weight,copy original,blank,none,"copy, no rescaling",weight,0,0,Phase 2K design registry,Pooling normalization approval required.
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_1,benchmark item,canonical SAV by year,WORRIED,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_2,benchmark item,canonical SAV by year,HEALTHY,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_3,benchmark item,canonical SAV by year,FEWFOOD,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_4,benchmark item,canonical SAV by year,SKIPPED,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_5,benchmark item,canonical SAV by year,ATELESS,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_6,benchmark item,canonical SAV by year,RUNOUT,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_7,benchmark item,canonical SAV by year,HUNGRY,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Kazakhstan,kaz_fies_2014_2017_benchmark,kaz_fies_item_8,benchmark item,canonical SAV by year,WHLDAY,adult respondent-year,Kazakhstan FIES 2014-2017 adult records,last 12 months,"1 affirmative, 0 no, blank missing","1 affirmative, 0 negative",blank,none,copy standardized item,1=worse,0,1,Phase 2K item registry,
Project,phase_03_specification,missing_input__PHASE_02_REVISED_RESEARCH_DESIGN,input documentation,outputs/checkpoints/PHASE_02_REVISED_RESEARCH_DESIGN.md,not applicable,not applicable,not applicable,not applicable,not applicable,BLOCKED - SUPERVISOR DECISION REQUIRED,not applicable,not applicable,not constructed,not applicable,0,0,Phase 3 prompt,Exact file absent; used approved revised Phase 2 outputs where possible.
Project,phase_03_specification,missing_input__harmonization_dictionary,input documentation,research/harmonization_dictionary.csv,not applicable,not applicable,not applicable,not applicable,not applicable,BLOCKED - SUPERVISOR DECISION REQUIRED,not applicable,not applicable,not constructed,not applicable,0,0,Phase 3 prompt,Exact file absent; used approved revised Phase 2 outputs where possible.
Project,phase_03_specification,missing_input__phase_02_lik_verified_variables,input documentation,outputs/checkpoints/phase_02_lik_verified_variables.csv,not applicable,not applicable,not applicable,not applicable,not applicable,BLOCKED - SUPERVISOR DECISION REQUIRED,not applicable,not applicable,not constructed,not applicable,0,0,Phase 3 prompt,Exact file absent; used approved revised Phase 2 outputs where possible.
Project,phase_03_specification,missing_input__phase_02_l2cu_variable_candidates,input documentation,outputs/checkpoints/phase_02_l2cu_variable_candidates.csv,not applicable,not applicable,not applicable,not applicable,not applicable,BLOCKED - SUPERVISOR DECISION REQUIRED,not applicable,not applicable,not constructed,not applicable,0,0,Phase 3 prompt,Exact file absent; used approved revised Phase 2 outputs where possible.
