country,dataset,dataset_role,concept,status,source_file,observation_level,raw_variable_names,exact_question_wording_or_label,recall_period,wave_or_round_coverage,coding,missing_codes_or_structural_missing,aggregate_verification,later_transformation_plan,comparability_notes,evidence_source
kyrgyzstan,LiK 2019,main panel and household analysis,region,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta,household,oblast,Oblast,current,2019,2 Issyk-Kul; 3 Jalal-Abad; 4 Naryn; 5 Batken; 6 Osh; 7 Talas; 8 Chui; 11 Bishkek; 21 Osh city,no special missing code documented,oblast: 2316 valid/2316 nonmissing,categorical region control,not available in supplied L2CU CSVs,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta
kyrgyzstan,LiK 2019,main panel and household analysis,"household assets, income or wealth",VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh2b.dta; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh5a.dta,household-item/source roster,asset; h219; h220; h223; income; h501; h502,Asset possession/quantity/resale value; income receipt and average monthly amount by source,assets current; income last 12 months/average month,2019,asset codes 1-35; possession 1 Yes/2 No; income sources 1-17; receipt 1 Yes/2 No; h502 code 99 Don't know,h222/h223 code 999 DK; h502 code 99 DK; structural missing by roster skip,asset: 23022 valid/23022 nonmissing; h219: 23022 valid/23022 nonmissing; h220: 22384 valid/22384 nonmissing; h223: 6467 valid/6467 nonmissing; income: 3049 valid/3049 nonmissing; h501: 3049 valid/3049 nonmissing; h502: 3049 valid/3049 nonmissing,pre-specify asset index or income aggregate before analytical construction,not directly harmonized with L2CU flow-income fields,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh2b.dta; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh5a.dta
kyrgyzstan,LiK 2019,main panel and household analysis,survey weights or documented reason for no weight,DOCUMENTED NO WEIGHT,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/LiK19_Study_Description.pdf,study design,no weight variable assigned,No sample weights have been assigned because sampling was proportional to population size in surveyed regions,not applicable,2019,not applicable,not applicable,study documentation verified; attrition is explicitly noted,unweighted primary analysis with attrition limitation; no invented weights,L2CU contains popw,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/LiK19_Study_Description.pdf p. 4
uzbekistan,L2CU 2018-2025,main household-panel analysis,household identifier,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,"Please, check household ID.",not applicable,rounds 1-82,identifier,blank only,hhid: 121618 valid/121618 nonmissing; hhid: 635150 valid/635150 nonmissing,retain as L2CU-specific key; never pool with LiK hhid,survey-specific identifier,data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf p. 1; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,"time, wave or round",VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round; date_start; date_end,"Round and interview start/end dates; round 82 fieldwork June 5-26, 2025",interview dates,rounds 1-82 in supplied CSV,integer round; dates,blank only,round: 121618 valid/121618 nonmissing; date_start: 121618 valid/121618 nonmissing; date_end: 121618 valid/121618 nonmissing; round: 635150 valid/635150 nonmissing,use round effects and documented dates later,2018-2025 repeated CATI rounds,data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf p. 1; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,remittance receipt,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv,individual/migrant roster with household-round fields,mig_living_remittance; remittance_hh,Migrant member sent money over past month; household receives money from abroad from non-household individuals,past month,since round 1; observed coverage verified in profile,CSV stores Yes/No labels; questionnaire codes 1 Yes/2 No,blank is structural when skip/unasked,mig_living_remittance: 20078 valid/20078 nonmissing; remittance_hh: 635150 valid/635150 nonmissing,later household-round receipt = documented combination of the two channels,shorter recall and two channels versus LiK member-migrant item,data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf pp. 4-5; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,remittance amount,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv,individual/migrant roster with household-round fields,mig_living_remittance_amount; mig_living_remittance_currency; remittance_hh_amount; remittance_hh_currency,Amount and currency sent over the past month,past month,since round 1; observed coverage verified in profile,"amount numeric; CSV stores labelled currencies; questionnaire codes 1 soum, 2 dollar, 3 euro, 4 ruble, 5 tenge, 96 other",structural when receipt=No; observed zero amounts are invalid under questionnaire >0 rule and remain flagged,mig_living_remittance_amount: 8095 valid/8096 nonmissing; mig_living_remittance_currency: 8096 valid/8096 nonmissing; remittance_hh_amount: 421 valid/436 nonmissing; remittance_hh_currency: 436 valid/436 nonmissing,sum member-migrant transfers and add nonmember channel only after duplicate/roster checks,currency conversion required; recall differs from LiK,data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf p. 5; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,household shock exposure,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round after later aggregation,work_lost_hh; change_important; change_important_type; water_disruption; gas_disruption; heat_disruption,Job loss/stopped work; major household change; unexpected utility disruptions,past month/30 days,"since round 1, with gas since round 19 and heat source changes; observed coverage in profile",CSV stores Yes/No and labelled change types; questionnaire codes binary 1/2 and change types 1-6,blank structural under skips/unasked rounds,water_disruption: 121618 valid/121618 nonmissing; gas_disruption: 45478 valid/45478 nonmissing; heat_disruption: 41767 valid/41767 nonmissing; change_important: 121616 valid/121616 nonmissing; change_important_type: 2273 valid/2273 nonmissing; work_lost_hh: 635150 valid/635150 nonmissing,pre-specify composite from job loss and major injury/illness/death; utility disruptions secondary,narrower and shorter recall than LiK event roster,"data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf pp. 6, 8-10; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv"
uzbekistan,L2CU 2018-2025,main household-panel analysis,economic shock,VERIFIED - LIMITED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv,household-round after later aggregation,work_lost_hh,Any household member lost their job or otherwise stopped working over the past month,past month,since round 1; observed coverage in profile,CSV stores Yes/No labels; questionnaire codes 1 Yes/2 No,blank structural/unasked,work_lost_hh: 635150 valid/635150 nonmissing,use job loss as economic/employment shock; do not use national economic_challenge as household shock,no broader household economic-event roster verified,"data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf pp. 6, 12; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv"
uzbekistan,L2CU 2018-2025,main household-panel analysis,employment or income shock,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv,household-round after later aggregation,work_lost_hh,Any household member lost their job or otherwise stopped working over the past month,past month,since round 1; observed coverage in profile,CSV stores Yes/No labels; questionnaire codes 1 Yes/2 No,blank structural/unasked,work_lost_hh: 635150 valid/635150 nonmissing,binary household-round job-loss exposure,closest cross-country match is LiK shock code 12,data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf p. 6; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,health shock,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,change_important; change_important_type,"Important change such as major injury, major illness, or death",past month,since round 1; observed coverage in profile,"CSV stores Yes/No plus one labelled type; questionnaire codes change 1/2 and types 4 injury, 5 illness, 6 death",blank structural when no important change,change_important: 121616 valid/121616 nonmissing; change_important_type: 2273 valid/2273 nonmissing,classify labelled Major injury/Major illness/Death; document single-field storage despite questionnaire multi-select instruction,"shorter recall; CSV exposes one type per positive row, which may not retain multiple simultaneous changes",data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf pp. 9-10; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,agricultural or climate shock,NOT AVAILABLE IN SUPPLIED FILES,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,not available,not available,No agricultural or climate shock question appears in supplied round-82 questionnaire or CSV headers,not available,not available,not available,not available,,do not construct or infer from agricultural income or household water-service disruption,country model cannot match LiK agricultural/climate shock,data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,food-insecurity outcome,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household CATI respondent/household-round,ln_1-ln_8; secondary food_past30d,Eight lack-of-nutrition experience items; enough food purchase question,past 30 days,ln items since round 49; exact observed rounds in profile,CSV stores Yes/No labels; questionnaire codes 1 Yes/2 No,blank for rounds before introduction or nonresponse,food_past30d: 121618 valid/121618 nonmissing,primary candidate is 0-8 affirmative count for rounds with all eight items; food_past30d secondary,L2CU yes/no 30-day battery versus LiK frequency-coded 12-month adult battery,"data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf pp. 11, 23; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv"
uzbekistan,L2CU 2018-2025,main household-panel analysis,household size,VERIFIED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,Household size column,current roster,observed rounds in profile,positive count,blank only,hhsize: 121618 valid/121618 nonmissing,use as supplied after range checks,LiK requires roster derivation,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,rural or urban residence,NOT AVAILABLE IN SUPPLIED FILES,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,not available,not available,No residence/urban/rural variable in either supplied CSV header,not available,not available,not available,not available,,do not infer from hhid or text,cannot include matched residence control with supplied L2CU release,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,region,NOT AVAILABLE IN SUPPLIED FILES,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,not available,not available,No region/province/oblast variable in either supplied CSV header,not available,not available,not available,not available,,do not infer geography from hhid,cannot include matched region effects with supplied L2CU release,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_individual_data_82.csv
uzbekistan,L2CU 2018-2025,main household-panel analysis,"household assets, income or wealth",VERIFIED - LIMITED,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,assets_past30d; wage_amount; aginc_amount; selfempinc_amount; otherinc_amount,Asset sale to meet needs and household income flows over past 30 days,past 30 days,since round 1; observed coverage in profile,CSV asset sale Yes/No; numeric amounts >0 conditional on receipt,structural under skips,assets_past30d: 121618 valid/121618 nonmissing; wage_amount: 58237 valid/58237 nonmissing; aginc_amount: 7905 valid/7905 nonmissing; selfempinc_amount: 46954 valid/47022 nonmissing; otherinc_amount: 2448 valid/2451 nonmissing,income-flow aggregate and coping indicator only; not a full asset/wealth stock,less comprehensive than LiK asset roster,"data/uzbekistan/l2cu/l2cu_microdata_library_questionnaire_r_82.pdf pp. 11, 18-19; data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv"
uzbekistan,L2CU 2018-2025,main household-panel analysis,survey weights or documented reason for no weight,VERIFIED COLUMN; DOCUMENTATION GAP,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,popw,Column exists; exact definition/normalization is not stated in supplied round-82 questionnaire,not applicable,observed coverage in profile,positive numeric candidate weight,blank values documented in profile,popw: 121618 valid/121618 nonmissing,do not use until weight documentation/design interpretation is confirmed,LiK explicitly has no assigned sample weights,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv
kazakhstan,Kazakhstan FIES,future regional policy benchmark,household identifier,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,"time, wave or round",PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,remittance receipt,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,remittance amount,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,household shock exposure,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,economic shock,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,employment or income shock,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,health shock,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,agricultural or climate shock,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,food-insecurity outcome,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
kazakhstan,Kazakhstan FIES,future regional policy benchmark,household size,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS,PENDING DATA ACCESS
